Название активности,"Расход ккал на 1 кг веса за 60 мин"
Айкидо,9
Аква-бег,7
Аквааэробика,5
Альпинизм,11
Американский футбол,8
Армейский жим,1
"Аэробика,высокая нагрузка",7
"Аэробика,средняя нагрузка",4
"Бадминтон,высокая нагрузка",6
"Бадминтон,средняя нагрузка ",4
"Баскетбол, высокая нагрузка",7
"Баскетбол,средняя нагрузка",4
"Бег11,3 км/ч",11
"Бег 12,1 км/ч",12
"Бег 12,9 км/ч",13
"Бег14,5км/ч",15
"Бег 16,09 км/ч",17
"Бег 17,7 км/ч",17
"Бег 6,4 км/ч",6
Бег 8 км/ч,8
"Бег 9,7 км/ч",10
Бег вверх по лестнице,15
Бег по пересеченной местности,12
Бег по песку,9
Бег трусцой,8
Беговая дорожка,6
Бейсбол,3
Биатлон ,10
Бикрам-Йога,7
Бильярд,3
Сгибание рук(бицепс),3
Боди Степ,8
Боевые искусстав,9
Бокс,9
"Бокс, высокая нагрузка",12
"Бокс,тренировочный",9
Бокс:груша,9
Боулинг,2
Быстрая пробежка вверх по лестнице,13
"Быстрая ходьба пешком 6,5 км/ч",4
Вейкбординг,10
"Велоаэробика, высокая нагрузка",9
"Велоаэробика,средняя нагрузка",6
"Велоспорт,высокая нагрузка",9
"Велоспорт,средняя нагрузка",6
Верховая езда,3
Верховая езда:выездка,3
Верховая езда:галоп,4
Верховая езда:препятствия,4
Верховая езда:рысь,7
Виндсерфинг,6
Водная гимнастика ,4
Водное поло,13
"Волейбол, высокая нагрузка",9
"Волейбол, легкая нагрузка",3
Гандбол,12
Гимнастика,8
"Гимнастика, интенсив",8
"Гимнастика, средняя нагрузка",4
Гиревая тренировка,10
Глажка белья,2
Гольф(обычный),5
"Горные лыжи, высокая нагрузка",8
"Горные лыжи, средняя нагрузка",5
"Горные лыжи, умеренная нагрузка",4
Гребля на байдарках,5
Гребля на каноэ,9
"Гребля, высокая нагрузка",10
"Гребля, низкая нагрузка",3
"Гребля, средняя нагрузка",7
Дайвинг,3
Дайвинг с аквалангом ,6
Дзюдо,9
Жим лежа,3
Жим ногами,5
Зимний кайтинг,8
Зумба,9
Игра на барабанах,3
Интенсивная прогулка,5
"Интервальная тренировка HIIT, высокая интенсивность",10
Йога,3
Кайтсерфинг,8
Карате,9
Кардиотренажеры,9
Катание на беговых лыжах,18
Катание на велосипеде,10
Катание на водных лыжах,6
Катание на горном велосипеде,9
Катание на коньках,7
"Катание на коньках,высокая нагрузка",11
"Катание на лыжах по пересеченной местности, высокая нагрузка",11
"Катание на лыжах по пересеченной местности, умеренная нагрузка",8
"Катание на лыжах, средняя нагрузка",8
Катание на роликовых каньках,6
Катание на роликовых лыжах,7
Катание на самокате,5
Катание на санках,4
Катание на скейтборде,5
Катание на сноуборде,7
Качание пресса,4
Керлинг,4
Кикбоксинг,7
Копание земли,5
Кошение травы,4
Кросс-конькобежный спорт,11
Кросс-тренажер,9
Кроссфит,10
Круговая тренировка,8
Кручение обруча,6
Культуризм(Бодибилдинг),3
Лакросс,8
"Медленная ходба пешком 4,5 км/ч",2
Мойка окон,3
Мотокросс,4
Мытье машины,3
Наклоны,3
Настольный тенис,3
Отжимания,4
Пауэрлифтинг(силовое троеборье),8
Пеший туризм,7
"Пеший туризм, с рюкзаком",8
Пилатес,3
Плавание баттерфляем,13
Плавание брассом,6
Плавание на спине,7
Плавание под парусом,5
Плавание с маской(Снорклинг),5
"Плавание, высокая нагрузка",12
"Плавание, низеая нагрузка",5
"Плавание,свободное",4
"Плавание,средняя нагрузка",7
Поднятие бедер из положения лежа,4
Подтягивания,5
Подъем по лестнице,9
Поло,7
Полоса препятствий,4
Приседание на одной ноге ,3
Приседание со штангой на плечах,3
Прогулка,2
Прогулка не торопливым шагом,2
Прогулка по лесу,4
Профессиональный футбол,10
Прыжки в длину,9
"Прыжки на батуте,любительские",3
Прыжки со скакалкой,7
Пылесошение,3
Работа с граблями,4
Растяжка,2
Регби,11
Садоводство,3
Сальса,6
Секс,4
Серфинг,3
Силовая йога,7
Силовые тренировки,8
Силовые упражнения,3
Синхронное плавание,6
Скалолазание,11
Скандинавская ходьба,5
Скручивание ,5
Смешанные единоборства,9
Спортивное ориентирование,7
Становая тяга,4
Степ,6
Степ-платформа,8
Табата,10
Тайский бокс,10
Танцевальная аэробика,9
Танцы,4
Танцы у шеста,5
Твист,5
Теннис,7
Уборка,2
Уборка снега лопатой,6
Упражнение Burpee,10
Упражнение планка,3
Упражнение выпады,8
Фехтование,6
Фрисби,3
Футбол,10
Хотьба вверх по лестнице,8
Ходьба внутри помещения,5
"Ходьба пешком, 5 км/ч",3
Хоккей,8
Хдьба с палками,4
Художественная гимнастика,8
Шопинг,3
"Эллиптический тренажер,высокая нагрузка",9
"Эллиптический тренажер,средняя нагрузка",6
"Эллиптический тренажер,низкая нагрузка",5
