Название активности,"Расход ккал на 1 кг веса за 60 мин"
Aikido,9
Aquajogging,7
Wassergymnastik,5
Bergsteigen,11
Fußball,8
Army-Bankdrücken,1
"Aerobic, hohe Intensität",7
"Aerobic, mittlere Intensität",4
"Badminton, hohe Intensität",6
"Badminton, mittlere Intensität  ",4
"Basketball, hohe Intensität",7
"Basketball, mittlere Intensität",4
"Laufen, 11,3 km/h",11
"Laufen, 12,1 km/h",12
"Laufen, 12,9 km/h",13
"Laufen, 14,5 km/h",15
"Laufen, 16,9 km/h",17
"Laufen, 17,7 km/h",17
"Laufen, 6,4 km/h",6
"Laufen, 8 km/h",8
"Laufen, 9,7 km/h",10
Die Treppe hinauf rennen,15
Geländelaufen,12
Laufen auf Sand,9
Joggen,8
Laufband,6
Baseball,3
Biathlon,10
Bikram Yoga,7
Billard,3
Bizeps-Curls,3
Body-Step,8
Kampfkunst,9
Boxen,9
"Boxen, hohe Intensität",12
"Boxen, Training",9
"Boxen, Boxsack",9
Bowling,2
Die Treppe schnell hinauf rennen,13
"Reges Gehen, 6,5 km/h",4
Wakeboarden,10
"Spinning, hohe Intensität",9
"Spinning, mittlere Intensität",6
"Radfahren, hohe Intensität",9
"Radfahren, mittlere Intensität",6
Reiten,3
"Reiten, Dressur",3
"Reiten, Galoppieren",4
"Reiten, Hindernisse",4
"Reiten, Trabrennen",7
Windsurfing,6
Wassergymnastik,4
Wasser-Polo,13
"Volleyball, hohe Intensität",9
"Volleyball, geringe Intensität",3
Handball,12
Gymnastik,8
"Gymnastik, intensiv",8
"Gymnastik, mittlere Intensität",4
Kettlebell-Training,10
Bügeln,2
Gold (regulär),5
"Skifahren, geringe Intensität",8
"Skifahren, mittlere Intensität",5
"Skifahren, mäßige Intensität",4
Kajak fahren,5
Kanusport,9
"Rudern, hohe Intensität",10
"Rudern, geringe Intensität",3
"Rudern, mittlere Intensität",7
Tauchen,3
Gerätetauchen,6
Judo,9
Bankdrücken,3
Beinpresse,5
Winterkiten,8
Zumba,9
Trommeln,3
Speed-Walking,5
"HIIT Intervalltraining, hohe Intensität",10
Yoga,3
Kitesurfen,8
Karate,9
Cardio-Geräte,9
Skilanglauf,18
Radfahren,10
Wasserski fahren,6
Mountainbiking,9
Eislaufen,7
"Eislaufen, hohe Intensität",11
"Skilanglauf, hohe Intensität",11
"Skilanglauf, mäßige Intensität",8
"Skifahren, mittlere Intensität",8
Inlineskaten,6
Inlineskating,7
Roller fahren,5
Rodeln,4
Skateboarden,5
Snowboarden,7
Crunches,4
Eisstockschießen,4
Kickboxen,7
Graben,5
Rasenmähen,4
Cross-Skaten,11
Crosstrainer,9
Crossfit,10
Zirkeltraining,8
Training mit einem Hula-Hoop-Reifen,6
Bodybuilding,3
Lacrosse,8
"Langsames Gehen, 4,5 km/h",2
Fenster waschen,3
Moto-Cross,4
Ein Auto waschen,3
Dips,3
Tischtennis,3
Liegestütze,4
Kraftdreikampf,8
Wandern,7
Wandern mit Rucksack,8
Pilates,3
"Schwimmen, Schmetterling",13
"Schwimmen, Brustschwimmen",6
"Schwimmen, Rückenschwimmen",7
Segeln,5
Schnorcheln,5
"Schwimmen, hohe Intensität",12
"Schwimmen, geringe Intensität",5
"Schwimmen, Freestyle",4
"Schwimmen, mittlere Intensität",7
Die Hüfte im Liegen heben,4
Klimmzüge,5
Treppensteigen,9
Polo,7
Hindernisstrecke,4
Einbeinige Kniebeugen,3
Schulterkniebeugen,3
Gehen,2
"Gehen, langsam",2
Im Wald spazieren,4
Profifußball,10
Weitsprung,9
"Trampolinspringen, Amateur",3
Seilspringen,7
Staubsaugen,3
Rechen,4
Dehnen,2
Rugby,11
Gartenarbeit,3
Salsa,6
Sex,4
Surfen,3
Power Yoga,7
Krafttraining,8
Kraftübungen,3
Synchronschwimmen,6
Felsklettern,11
Nordic Walking,5
Twists,5
Mixed Martial Arts,9
Orientierungslauf,7
Kreuzheben,4
Step-Aerobic,6
Step-Plattform,8
Tabata-Training,10
Thai-Boxen,10
Tanz-Aerobic,9
Tanzen,4
Pole Dance,5
"Tanzen, Twist",5
Tennis,7
Hausputzen,2
Schnee schaufeln,6
Burpees,10
Plank,3
Ausfallschritte,8
Fechten,6
Frisbee,3
Fußball,10
Treppensteigen,8
In einem Gebäude laufen,5
"Gehen, 5 km/h",3
Hockey,8
Mit Stöcken spazieren,4
Gymnastik,8
Einkaufen,3
"Ellipsentrainer, hohe Intensität",9
"Ellipsentrainer mittlerer Intensität",6
"Ellipsentrainer, geringe Intensität",5
