Название активности,"Расход ккал на 1 кг веса за 60 мин"
Aikido,9
Aquajogging,7
Aeróbic acuático,5
Escalada en montaña,11
Fútbol,8
Prensa,1
"Aeróbicos, intensidad alta",7
"Aeróbicos, intensidad media",4
"Bádminton, intensidad alta",6
"Bádminton, intensidad media",4
"Baloncesto, intensidad alta",7
"Baloncesto, intensidad media",4
"Running, 11,3 km/h",11
"Running, 12,1 km/h",12
"Running, 12,9 km/h",13
"Running, 14,5 km/h",15
"БRunning, 16,9 km/h",17
"Running, 17,7 km/h",17
"Corrida, 6,4 km/h",6
"Running, 8 km/h",8
"Running, 9,7 km/h",10
Running en escalera,15
Cross,12
Running en arena,9
Jogging,8
Cinta,6
Béisbol,3
Biatlón,10
Bikram yoga,7
Billar,3
Flexiones de bíceps,3
Body step,8
Artes marciales,9
Boxeo,9
"Boxeo, intensidad alta",12
"Boxeo, práctica",9
"Boxeo, saco de boxeo",9
Bolos,2
Running rápido en escalera,13
"Andar, 6,5 km/h",4
Esquí acuático,10
"Spinning, intensidad alta",9
"Spinning, intensidad media",6
"Ciclismo, intensidad alta",9
"Ciclismo, intensidad media",6
Montar a caballo,3
"Montar a caballo, doma Clásica",3
"Montar a caballo, galope",4
"Montar a caballo, obstáculos",4
"Montar a caballo, trote",7
Windsurf,6
Gimnasia acuática,4
Waterpolo,13
"Vóleibol, intensidad alta",9
"Vóleibol, intensidad baja",3
Balonmano,12
Gimnasia,8
"Gimnasia, intensa",8
"Gimnasia, intensidad media",4
Entrenamiento con pesas rusas,10
Planchar la ropa,2
Oro (regular),5
"Esquí alpino, intensidad baja",8
"Esquí alpino, intensidad media",5
"Esquí alpino, intensidad moderada",4
Kayak,5
Canoa,9
"Remo, intensidad alta",10
"Remo, intensidad baja",3
"Remo, intensidad media",7
Buceo,3
Submarinismo,6
Judo,9
Prensa,3
Prensa de piernas,5
Snow kite,8
Zumba,9
Smash Drum Fit,3
Caminar rápido,5
"Entrenamiento HITT, intensidad alta",10
Yoga,3
Kitesurfing,8
Kárate,9
Equipo de cardio,9
Esquí de fondo,18
Ciclismo,10
Esquí acuático,6
Ciclismo de montaña,9
Patinaje sobre hielo,7
"Patinaje sobre hielo, intensidad alta",11
"Esquí de fondo, alta intensidad",11
"Esquí de fondo, intensidad moderada",8
"Esquí, intensidad media",8
Patinaje sobre ruedas,6
Patinaje en línea,7
Montar en moto,5
Trineo,4
Skateboard,5
Snowboard,7
Abdominales,4
Curling,4
Kickboxing,7
Excavar,5
Cortar el césped,4
Cross-skating,11
Entrenador de cross,9
Crossfit,10
Entrenamiento en circuito,8
Ejercicios con hula hoop,6
Culturismo,3
Lacrosse,8
"Caminata lenta, 4,5 km/h",2
Limpiar ventanas,3
Motocross,4
Lavar un coche,3
Fondos,3
Tenis de mesa,3
Flexiones,4
Levantamiento de pesas,8
Senderismo,7
Senderismo con mochila,8
Pilates,3
"Natación, mariposa",13
"Natación, braza",6
"Natación, espalda",7
Vela,5
Snorkel,5
"Natación, intensidad alta",12
"ПNatación, intensidad baja",5
"Natación, estilo libre",4
"Natación, intensidad media",7
Levantamientos de cadera desde posición tumbada,4
Dominadas,5
Subida de escaleras,9
Polo,7
Pista de obstáculos,4
Sentadillas a una pierna,3
Sentadillas con barra,3
Marcha,2
"Marcha, lenta",2
Marcha por el bosque,4
Fútbol profesional,10
Salto de longitud,9
"Salto de trampolín, aficionado",3
Saltar la cuerda,7
Pasar la aspiradora,3
Rastrillar,4
Estiramientos,2
Rugby,11
Jardinería,3
Salsa,6
Sexo,4
Surf,3
Power yoga,7
Entrenamiento de fuerza,8
Ejercicios de fuerza,3
Natación sincronizada,6
Escalada en roca,11
Marcha nórdica,5
Giros,5
Artes marciales mixtas,9
Orientación,7
Peso muerto,4
Aeróbic en step,6
Plataforma de step,8
Entrenamiento Tabata,10
Boxeo tailandés,10
Aeróbic con baile,9
Danza,4
Pole dance,5
"Danza, giros",5
Tenis,7
Limpieza de la casa,2
Quitar la nieve,6
Burpees,10
Tablón,3
Suelo,8
Esgrima,6
Frisbee,3
Fútbol,10
Subir las escaleras,8
Andar por un edificio,5
"Caminata, 5 km/h",3
Hockey,8
Caminata con palos,4
Gimnasia,8
Ir de compras,3
"Máquina elíptica, intensidad alta",9
"Máquina elíptica, intensidad media",6
"Máquina elíptica, intensidad baja",5
