Название активности,"Расход ккал на 1 кг веса за 60 мин"
Aikido,9
Aquajogging,7
Hidroaeróbica,5
Escalada de montanha,11
Futebol americano,8
Supino do exército,1
"Aeróbica, alta intensidade",7
"Aeróbica, intensidade média",4
"Badminton, alta intensidade",6
"Badminton, intensidade média",4
"Basquete, alta intensidade",7
"Basquete, intensidade média",4
"Corrida, 11,3 km/h",11
"Corrida, 12,1 km/h",12
"Corrida, 12,9 km/h",13
"Corrida, 14,5 km/h",15
"Corrida, 16,9 km/h",17
"Corrida, 17,7 km/h",17
"Corrida, 6,4 km/h",6
"Corrida, 8 km/h",8
"Corrida, 9,7 km/h",10
Subir escadas correndo,15
Corrida cross-country,12
Corrida na areia,9
Corrida lenta,8
Esteira,6
Beisebol,3
Biatlo,10
Bikram yoga,7
Sinuca,3
Flexão de bíceps,3
Body step,8
Artes marciais,9
Boxe,9
"Boxe, alta intensidade",12
"Boxe, prática",9
"Boxe, saco de boxe",9
Boliche,2
Subir escadas correndo rapidamente,13
"Caminhada rápida, 6,5 km/h",4
Wakeboard,10
"Spinning, alta intensidade",9
"Spinning, intensidade média",6
"Ciclismo, alta intensidade",9
"Ciclismo, intensidade média",6
Equitação,3
"Equitação, Adestramento",3
"Equitação, galope",4
"Equitação, obstáculos",4
"Equitação, trote",7
Windsurf,6
Hidroginástica,4
Pólo aquático,13
Voleibol de alta intensidade,9
Voleibol de baixa intensidade,3
Handebol,12
Ginástica,8
"Ginástica, intensa",8
"Ginástica, intensidade média",4
Treino com kettlebell,10
Passar roupa a ferro,2
Ouro (regular),5
"Esqui alpino, baixa intensidade",8
"Esqui alpino, intensidade média",5
"Esqui alpino, intensidade moderada",4
Caiaque,5
Canoagem,9
"Remo, alta intensidade",10
"Remo, baixa intensidade",3
"Remo, intensidade média",7
Mergulho,3
Mergulho com oxigênio,6
Judô,9
Supino,3
Leg press,5
Winter kiting,8
Zumba,9
Tocar bateria,3
Caminhada acelerada,5
"Treinamento intervalado HIIT, alta intensidade",10
Ioga,3
Kitesurf,8
Karatê,9
Equipamento cárdio,9
Esqui cross-country,18
Ciclismo,10
Esqui aquático,6
Mountain bike,9
Patinação no gelo,7
"Patinação no gelo, alta intensidade",11
"Esqui cross-country, alta intensidade",11
"Esqui cross-country, intensidade moderada",8
"Esqui, intensidade média",8
Andar de patins,6
Patins em linha,7
Andar de patinete,5
Trenó,4
Skate,5
Snowboard,7
Abdominais,4
Curling,4
Kickboxing,7
Escavação,5
Cortar o gramado,4
Cross-skating,11
Cross trainer,9
Crossfit,10
Treinamento circular,8
Malhação com bambolê,6
Musculação,3
Lacrosse,8
"Caminhada lenta, 4,5 km/h",2
Limpar janelas,3
Motocross,4
Lavar um carro,3
Afundo,3
Tênis de mesa,3
Flexões,4
Levantamento de peso,8
Trilhas,7
Trilhas com mochila,8
Pilates,3
"Natação, borboleta",13
"Natação, peito",6
"Natação, costas",7
Velejar,5
Mergulho com Snorkel,5
"Natação, alta intensidade",12
"Natação, baixa intensidade",5
"Natação, estilo livre",4
"Natação, intensidade média",7
Elevação dos quadril em posição deitada,4
Flexões,5
Subida de escadas,9
Polo,7
Percurso com obstáculos,4
Agachamento com uma perna,3
Agachamento com peso no ombro,3
Caminhada,2
"Caminhada, lenta",2
Caminhar na mata,4
Futebol profissional,10
Salto em distância,9
"Salto de trampolim, amador",3
Pular corda,7
Passar aspirador,3
Varrer folhas secas,4
Alongar,2
Rugby,11
Jardinagem,3
Salsa,6
Sexo,4
Surfe,3
Power yoga,7
Treino de força,8
Exercícios de força,3
Nado sincronizado,6
Escalada,11
Caminhada nórdica,5
Abdominal oblíquo alternado c/ pernas estendidas,5
Artes marciais mistas,9
Orientação,7
Levantamento terra,4
Aeróbica step,6
Plataforma step,8
Treino Tabata,10
Boxe tailandês,10
Dança aeróbica,9
Dança,4
Pole dance,5
Dança, twist,5
Tênis,7
Limpar a casa,2
Remover neve,6
Burpees,10
Prancha,3
Avanço,8
Esgrima,6
Frisbee,3
Futebol,10
Subir escadas,8
Andar dentro de um edifício,5
"Caminhada, 5 km/h",3
Hóquei,8
Caminhada com bastões,4
Ginástica,8
Compras,3
"Máquina elíptica, alta intensidade",9
"Máquina elíptica, média intensidade",6
"Máquina elíptica, baixa intensidade",5
